
            1995          ;
            Best Metal Performance          ;
            Happiness In Slavery          ;Nine Inch Nails (Robin Finck, Danny Lohner, Trent Reznor, Chris Vrenna, James Woolley), artist.
            1995          ;
            Best Rock Instrumental Performance          ;
            Jessica          ;Allman Brothers Band (Gregg Allman, Dickey Betts, Warren Haynes, Jaimoe, Marc Quinones, Butch Trucks, Allen Woody), artist.
            1995          ;
            Best Rock Song          ;
            You Oughta Know          ;Alanis Morissette & Glen Ballard, songwriters.
            1995          ;
            Best Rock Album          ;
            Jagged Little Pill          ;Alanis Morissette, artist. Glen Ballard, producer.
            1994          ;
            Best Female Rock Vocal Performance          ;
            Come To My Window          ;Melissa Etheridge, artist.
            1994          ;
            Best Male Rock Vocal Performance          ;
            Streets Of Philadelphia          ;Bruce Springsteen
            1994          ;
            Best Rock Performance By A Duo Or Group With Vocal          ;
            Crazy          ;Aerosmith (Tom Hamilton, Joey Kramer, Joe Perry, Steven Tyler, Brad Whitford), artist.
            1994          ;
            Best Hard Rock Performance          ;
            Black Hole Sun          ;Soundgarden (Matt Cameron, Chris Cornell, Ben Shepherd, Kim Thayil), artist.
            1994          ;
            Best Metal Performance          ;
            Spoonman          ;Soundgarden (Matt Cameron, Chris Cornell, Ben Shepherd, Kim Thayil), artist.
            1994          ;
            Best Rock Instrumental Performance          ;
            Marooned          ;Pink Floyd (David Gilmour, Nick Mason, Rick Wright), artist.
            1994          ;
            Best Rock Song          ;
            Streets Of Philadelphia          ;Bruce Springsteen
            1994          ;
            Best Rock Album          ;
            Voodoo Lounge          ;Rolling Stones (Mick Jagger, Keith Richards, Charlie Watts, Ron Wood), artist.
            1993          ;
            Best Rock Vocal Performance, Solo          ;
            I'd Do Anything For Love (But I Won't Do That)          ;Meat Loaf, artist.
            1993          ;
            Best Rock Performance By A Duo Or Group With Vocal          ;
            Livin' On The Edge          ;Aerosmith (Tom Hamilton, Joey Kramer, Joe Perry, Steven Tyler, Brad Whitford), artist.
            1993          ;
            Best Hard Rock Performance With Vocal          ;
            Plush          ;Stone Temple Pilots (Dean DeLeo, Robert DeLeo, Eric Kretz, Scott Weiland), artist.
            1993          ;
            Best Metal Performance With Vocal          ;
            I Don't Want To Change The World          ;Ozzy Osbourne, artist.
            1993          ;
            Best Rock Instrumental Performance          ;
            Sofa          ;Steve Vai, artist.
            1993          ;
            Best Rock Song          ;
            Runaway Train          ;David Pirner, songwriter.
            1992          ;
            Best Rock Vocal Performance, Female          ;
            Ain't It Heavy          ;Melissa Etheridge, artist.
            1992          ;
            Best Rock Vocal Performance, Male          ;
            Unplugged          ;Eric Clapton, artist.
            1992          ;
            Best Rock Performance By A Duo Or Group With Vocal          ;
            Achtung Baby          ;U2 (Bono, Adam Clayton, Edge, Larry Mullen Jr.), artist.
            1992          ;
            Best Hard Rock Performance With Vocal          ;
            Give It Away          ;Red Hot Chili Peppers (Flea, John Frusciante, Anthony Kiedis, Chad Smith), artist.
            1992          ;
            Best Metal Performance          ;
            Wish          ;Nine Inch Nails (Trent Reznor), artist.
            1992          ;
            Best Rock Instrumental Performance          ;
            Little Wing          ;Stevie Ray Vaughan And Double Trouble (Chris "Whipper" Layton, Tommy Shannon, Stevie Ray Vaughan, Reese Wynans), artist.
            1992          ;
            Best Rock Song          ;
            Layla          ;Eric Clapton & Jim Gordon, songwriters.
